Номер,Название
201600,Группа 3. Комбинаторика
004806,Параллель D. Строки
204405,Группа 5. Интересные задачи 3
202306,Группа 3. Строки
201803,Группа 5. Олимпиадный контест 24.10.19
300515,Олимпиадная информатика-2. Занятие 16. Динамическое программирование. Часть 5. Наибольшая возрастающая подпоследовательность
204404,Группа 5. Интересный контест 2
000013,Осень 2017. 2 тур
500006,Январская школа Летово. День 2. Группа 1. Поиски и сортировки
203021,Группа avdeeva. Функции
204601,Командная олимпиада Letovo
201608,Группа 3. Структуры данных 2
300803,Олимпиадная информатика-5. Занятие 4. Декартово дерево. k-ая порядковая статистика
500004,Майская школа Летово. День 2. Группа 1. Простые структуры данных
202307,Группа 3. Топологическая сортировка и конденсация
203034,Группа avdeeva. Алиса и числа
200500,Параллель D — Условный оператор
202701,Готовимся к региональному этапу 1
203137,8prof. Алгоритм Хаффмана (расширенный список задач)
004502,Параллель A. Интересное дерево отрезков
203037,Группа avdeeva. Бинарные файлы
500013,Template
201705,Группа 4. Переписывание кр
209012,Командная олимпиада в Сириус.Ноябрь.2024 на гексагональном поле
203118,"9-профиль Основы работы с изображениями. Numpy, OpenCV"
202001,Группа 1. Динамическое программирование 1
200112,Итоговый контест
300611,Олимпиадная информатика-3. Занятие 12. LCA
203006,Группа avdeeva. Алгоритм Евклида
200502,Параллель D — Циклы
300801,Олимпиадная информатика-5. Занятие 2. Heavy-light декомпозиция
202406,Группа 4. Корневая декомпозиция
202408,Группа 4. Динамика по поддеревьям
203135,8prof. Пиксельное Кардано
201807,"Группа 5. Бор, Ахо-Корасик"
000012,Осень 2017. 1 тур
203107,Группа ilyin. Функции
205103,Группа ilyin. Цикл for
204403,Группа 5. Потоки минимальной стоимости
203061,8prof. Рекурсивная комбинаторика
004014,Майская школа Летово. День 4. Группа 2. Геометрия
300418,ОИ1-3. Бинпоиск по ответу
202705,Готовимся к региональному этапу 3
300509,Олимпиадная информатика-2. Занятие 10: Графы. Часть 5. Поиск кратчайших путей во взвешенном графе. Алгоритм Дейкстры
205108,Экспертная система
202302,Группа 3. Геометрия. База
201904,Неделя 3. IOI
003921,Майская школа Летово. День 2. Группа 1. Простые структуры данных
201906,Неделя 4. IOI
000016,Весна 2018. 2 тур
204400,Группа 5. Паросочетания
203043,8prof. Модульная арифметика (база)
202511,Группа 5. Ахо-Корасик
300510,Олимпиадная информатика-2. Занятие 11: Графы. Часть 6. Поиск кратчайших путей во взвешенном графе. Алгоритм Флойда-Уоршелла00
201610,Группа 3. Структуры данных 3. Массовые операции в ДО
200403,Группа 1. Динамическое программирование - 2
204408,Группа 5. Суффиксный автомат
000014,Осень 2017. 2 тур. Второй вариант
300603,Олимпиадная информатика-3. Занятие 4. Принадлежность точки выпуклому многоугольнику
300411,ОИ1-2. Бинпоиск-1
004301,Параллель C. Бинарный поиск по ответу
004307,Параллель C. BFS
003203,Дерево отрезков
203023,Группа avdeeva. Summative Criterion B*
202505,Группа 5. Задачечки 2
204606,Готовимся к олимпиадам 3-5 5
300604,Олимпиадная информатика-3. Занятие 5. Строки. Хеши. Часть 1
200607,Группа 3. ДО. Массовые операции
300400,Олимпиадная информатика-1. Занятие 1. Квадратичные сортировки: (Сортировка выбором минимума/максимума. Сортировка пузырьком. Сортировка вставками). Сортировка подсчетом
201611,Группа 3. ДО за 5 минут 2
201707,Группа 4. Корневая декомпозиция + МО
004404,Параллель D. Массивы
203059,8prof. Рекурсивные сортировки
200805,Группа 5. Паросочетания
202720,Готовимся к заключительному этапу 2
201621,Группа 3. Суффиксное дерево для Кости
004809,Параллель D. Сортировки
200541,Группа О-2. Занятие 13. Динамическое программирование. Часть 2. Черепашка на количество путей. Черепашка на минимальный путь. Черепашка с ограничениями
203115,9-профиль Класс float Python
203022,Группа avdeeva. Вычислительная геометрия 3
000030,Экзамен
500032,8prof. Рекурсия-2
201602,Группа 3. Повторение бинарного поиска
204302,Группа 4. Комбинаторика
200540,"Группа О-2, занятие 12: Динамическое программирование. Часть 1. Решение задач на последовательности"
203130,Группа ilyin.Словари
202712,Личная олимпиада
203123,Группа ilyin. Арифметика остатков
206001,Группа ilyin. Тестовый контест
209005,Электронные таблицы
201701,Группа 4. Вспоминаем дерево отрезков
204303,Группа 4. Корневая декомпозиция
203161,8prof. itertools
202105,Группа 2. Алгоритмы на графах 2
300606,Олимпиадная информатика-3. Занятие 7. Графы. Топологическая сортировка
202706,Готовимся к муниципальному этапу 4
203112,Группа ilyin. Двумерные массивы
004804,Параллель D. Массивы
000006,template for gval
201703,Группа 4. Контрольная работа
203162,Bug Fix. Сортировки NlogN
200101,Параллель P. Параллель P. Линейные алгоритмы
004603,Параллель B. Остовные деревья
203134,Шифруемся!
500025,8-расширение. Основы работы с Numpy
500031,Best contest ever
200544,"Группа О-2, занятие 16. Динамическое программирование. Часть 5. Наибольшая возрастающая подпоследовательность"
209004,Электронные таблицы. Итоговое 1.
004702,Параллель C. Арифметика
200803,Группа 5. Необычный контест 1
200539,"Группа О-2, занятие 11: Графы. Часть 6. Поиск кратчайших путей во взвешенном графе. Алгоритм Флойда-Уоршелла"
201708,Группа 4. Паросочетания
202715,Готовимся к муниципальному этапу 8
201601,Группа 3. Геометрия
200301,Группа O. Новогодний контест
000115,Регистрация в контесты letovo
202400,Группа 4. Декартово дерево
204201,Группа 3. Корневая декомпозиция
202002,ОИ1-6. Одномерная динамика
300610,Олимпиадная информатика-3. Занятие 10. Дерево отрезков. 2D задачи
500000,last
020900,Template
003204,Параллель B. Динамическое программирование
204409,Группа 5. Интересные задачи 5
202304,Группа 3. Геометрия. Многоугольники
202405,Группа 4. КР по ДО
000023,Template
003103,Параллель C. Андрей не решил отсюда почти ничего
201604,Группа 3. Топологическая сортировка и конденсация
202108,Группа 2. Алгоритмы на графах 5
204610,Готовимся к олимпиадам 3-5 9
004105,Параллель A. Heavy-light Decomposition
204609,Готовимся к олимпиадам 3-5 8
004701,Параллель C. Бинарный поиск по ответу
004405,Параллель D. Двумерные массивы
300608,Олимпиадная информатика-3. Занятие 9. Структуры данных
201623,Группа 3. Портфель? Ранец?
004104,Параллель A. Динамика
205200,Экзамен для поступающих в 10 класс. Вариант 1
201605,Группа 3. Остовные деревья
203301,Группа fedchenko. Поиск кратчайших путей во взвешенном графе. Алгоритм Флойда-Уоршелла
004606,Параллель B. Динамическое программирование
202103,Группа 2. Алгоритмы поиска 4
201901,Неделя 2. ACM
200405,Группа 1. Разные задачи на простую динамику
203015,Группа avdeeva. Строки
203204,Вступительная Летово ЯШ
123456,Test contest
202716,Готовимся к региональному этапу 8
202709,Готовимся к региональному этапу 5
004604,Параллель B. Строки и хеш
004406,Параллель D. Функции и рекурсия
003104,Параллель C. DFS+BFS
100200,Template
203202,Группа gurovic. 7 класс. Соцгум. Переписывание
200102,Группа P. Цикл for
003999,Test
300412,ОИ1-3. Бинпоиск-2
202303,Группа 3. Геометрия. Прямые
004801,Параллель D. Условия
003911,Майская школа Летово. День 1. Группа 2. Деревья отрезков
202100,Группа 2. Алгоритмы поиска 1
004300,Параллель C. Бинарный поиск
202404,Группа 4. Сложное дерево отрезков
202308,Группа 3. Мосты и точки сочленения
004605,Параллель B. Структуры данных
201991,Олег Плисов. Личный контест.
203017,Группа avdeeva. Тренировка 1
300416,ОИ1-7. Динамика-4
200105,"P: Списки : Ввод, Вывод, Индексация"
202410,Группа 4. Динамика по профилю
004005,Майская школа Летово. День 5. Группа 1
201802,Группа 5. Олимпиадный контест 03.10.19
201808,Тренировка к всеросу 1
000018,Test contest
202503,Группа 5. Задачечки
300414,ОИ1-5. Динамика-2
203052,Проверка цепочки слов
300422,ОИ1-5. Жадные алгоритмы
202309,Группа 3. Мосты и точки сочленения
004015,Майская школа Летово. День 5. Группа 2. Строки
204604,Готовимся к олимпиадам 3-5 3
200302,NOI 2016
300506,Олимпиадная информатика-2. Занятие 7: Графы. Часть 2. Обход графа. Рекурсивный обход. Подсчет количества компонент связности.
003202,Параллель B. Структуры данных 2
301600,Группа 3. Комбинаторика
500008,Fun Contest VKOSHP.Junior
201609,Группа 3. ДО за 5 минут
203141,8prof. Функции. Теория
003001,Параллель D. Дополнительные задачи на ввод-вывод
202500,Группа 5. Мы любим матрицы
202101,Группа 2. Алгоритмы поиска 2
200300,Группа O. Группа O. Распределительная шляпа
003002,Параллель D. Конструкция if
300507,Олимпиадная информатика-2. Занятие 8: Графы. Часть 3. Покраска в два цвета. Поиск циклов. Обход дерева.
200612,Группа 3. LCA и двоичные подъемы
200109,Группа P. Квадратичные сортировки
300410,ОИ1-1. Сортировки
500024,8prof Почти Растершлюссель
202305,Группа 3. Контрольная по геометрии
201813,Тренировка к всеросу 6. Я вам запрещаю не решать тренировки
201805,Группа 5. Олимпиадный контест 21.11.19
004705,Параллель C. DFS
203014,Группа avdeeva. Вычислительная геометрия 1
004601,Параллель B. Топологическая сортировка и конденсация
203053,8prof. Decorator spells
200801,"Параллель P. Строки (функции, срезы)"
204411,Группа 5. Интересные задачи 7
203018,Группа avdeeva. Готовимся к школьному этапу 1
202310,Группа 3. Остовные деревья
203105,Группа ilyin. Цикл while
500009,Test contest 2
004706,Параллель C. BFS
203166,Генерация двумерных списков
201616,Группа 3. LCA
002297,Староновогодний контест
200409,Простое динамическое программирование
203300,Группа fedchenko. Поиск кратчайших путей во взвешенном графе. Алгоритм Дейкстры
004305,Параллель C. STL
200611,Группа 3. Вау-контест
204605,Готовимся к олимпиадам 3-5 4
004407,Параллель D. Строки
202106,Группа 2. Алгоритмы на графах 3
201815,Тренировка к всеросу 8. Еще немного интересных(нет) задач
204607,Готовимся к олимпиадам 3-5 6
200201,Группа G. Графы
203003,Группа avdeeva. Условия
203129,Простые жадачи
203117,9-профиль OpenCV
300500,Олимпиадная информатика-2. Занятие 1. Сортировки за NlogN (Сортировка слиянием. Быстрая сортировка. Встроенная сортировка)
204600,Готовимся к олимпиадам 3-5 1
201990,Игорь Логинов. Персональный контест
300609,Олимпиадная информатика-3. Занятие 10. Дерево отрезков. Массовые операции
301700,Группа 4. Декартово дерево
203109,Группа ilyin. Строки
202707,Готовимся к региональному этапу 4
002999,Фоксфорд зима 2019. Вступительное тестирование.
201612,Группа 3. Сканлайн + ДО
300805,Олимпиадная информатика-5. Занятие 6. Паросочетания. Часть 1
203060,8prof Системы счисления
200404,Группа 1. Двумерная динамика. Восстановление ответа
205106,Тренировочный вариант ОГЭ
202509,Группа 5. Бор
004100,Параллель A. Паросочетания и прилагающиеся бяки
203165,Генераторы двумерных списков
201710,Группа 4. Дерево Фенвика
200603,Группа 3. Строки
202717,Готовимся к муниципальному этапу 9
300401,Олимпиадная информатика-1. Занятие 2. Бинарный поиск. Часть 1. Нахождение элемента в упорядоченном списке
201810,Тренировка к всеросу 3. Уезжаем на Балтийское побережье
202506,Группа 5. Задачечки 3
202102,Группа 2. Алгоритмы поиска 3
200606,Группа 3. Структуры данных
300517,19/20 Олимпиадная информатика-2. Занятие 1. Встроенные сортировки
203203,Группа gurovic. Итоговый контест для зимних курсов
000022,test virtual
203120,Основы ООП С++
004607,Параллель B. Информатическая регата
500001,Template
500030,Много динамики
004306,Параллель C. DFS
203205,Python for ascii-art
500029,ИМБА. Индивидуальный зачет
004304,Параллель C. Динамика 2
004704,Параллель C. Динамика 2
202703,Готовимся к региональному этапу 2
300601,Олимпиадная информатика-3. Занятие 2. Геометрия
004021,Майская школа Летово. День 3. Группа 1. Простые графы
200532,Группа 2. Сканирующая прямая
201613,Группа 3. ДО за 5 минут 3
204307,Группа 4. Декартово дерево
205107,8-prof-22. Начинаем!
500018,8prof. Списки почти в одну строку
300413,ОИ1-4. Динамика-1
004803,"Параллель D. Переменные, ввод-вывод доп. задачи"
205100,7 класс. Линейный алгоритм
004101,Параллель A. Декартово дерево
000002,Template
000003,Test#2
203116,9-профиль Вычислительная геометрия
300602,"Олимпиадная информатика-3. Занятие 3. Принадлежность точки многоугольнику, выпуклая оболочка"
204608,Готовимся к олимпиадам 3-5 7
002998,Новогодний контест
003990,Юзеры майской школ
004403,Параллель D. Циклы
203056,8prof. Рекурсия
200107,Работа со списками
300420,Группа ilyin. Условия
201903,Неделя 3. ACM
203119,Python for ascii-art
003302,Параллель A. Олимпиадный контест
200400,Квадратичные сортировки
202501,Группа 5. Потоки
204200,Группа 3. Форд-Беллман
201907,Неделя 5. ACM. DSU
300802,"Олимпиадная информатика-5. Занятие 3. Бинарное дерево поиска. Декартово дерево. Построение, базовые операции"
004402,"Параллель D. Переменные, ввод-вывод доп. задачи"
203160,8prof. Основы работы с изображениями
300421,ОИ1. Линейные алгоритмы со структурами
203142,Линейная регрессия
202708,Готовимся к муниципальному этапу 5
003303,Параллель A. Дерево отрезков
201816,Тренировка к всеросу 9. Всерос принял коронавирус
201620,Группа 3. НВП/НОП
300600,"Олимпиадная информатика-3. Занятие 1. Комбинаторные алгоритмы (генерация, объект по номеру и номер по объекту, следующий объект)"
201909,Неделя 06. IOI
500017,Letovo orientation
200100,Параллель P. Задачи на строки
500010,Fun Contest VKOSHP.Junior
202721,Готовимся к заключительному этапу 3
201619,Группа 3. Кратчайшие пути
203201,Вступительный контест на Зимние курсы
204603,Командная олимпиада Letovo 2. Лига B
205110,ОГЭ Статград 14.10.25
004023,Майская школа Летово. День 3. Группа 3. Сложнота
004050,Пашин Контест
004303,Параллель C. Динамика
002296,Новогодний контест 2024
200113,"Стеки (A-K, Z)"
200534,Графы. Матрица смежности. Список ребер. Список смежности.
202710,Готовимся к муниципальному этапу 6
205203,Самматив ООП на Python
203054,Проверка 0-1 лабиринта
203063,7 класс. Самматив по основам Python. Вариант II
201811,Тренировка к всеросу 4. Задачи + Convex Hull Trick vs Li-Chao Tree
003004,Параллель D. Массивы
000009,База участников для share
123457,Пробный контест
300504,Олимпиадная информатика-2. Занятие 5: Алгоритмы поиска. Часть 4. Метод двух указателей. Метод частичных сумм.
203027,Группа avdeeva. criterionB-2
300804,Олимпиадная информатика-5. Занятие 5. Декартово дерево по неявному ключу
201902,Неделя 2. IOI
003991,Шаблон для майской школы
004503,Параллель A. Декартово дерево
203106,Группа ilyin. Строки
003105,Параллель C. Вот это точно BFS
204202,Группа 3. Sparse table
202409,Группа 4. Динамика по подмножествам
205104,Группа ilyin. Цикл while
004800,"Параллель D. Переменные, ввод-вывод"
205105,Группа ilyin. Матрица смежности и список ребер
200408,Динамическое программирование. Зачет
209000,Python. Объекты и классы
201801,Группа 5. Потоки
500015,Группа avdeeva. Алгоритм Хаффмана
201900,Разминка. Сборная солянка
203057,8prof. Рекурсивная комбинаторика
203124,Level 7-2. Сборник №1 (всякое)
209010,OpenCV Opentasks
203108,Группа ilyin. Строки
203025,Группа avdeeva. Вычислительная геометрия 4
300402,Олимпиадная информатика-1. Занятие 3: Бинарный поиск. Часть 2. Нахождение корней монотонной функции
206000,Группа gurovic. Самматив 9 класс. Графы
204602,Командная олимпиада Letovo 2. Лига A
004703,Параллель C. Динамика
205400,Группа trufanov. Технологии программирования
203000,Группа avdeeva. Линейный алгоритм
203126,Алгоритм Евклида
203001,Группа avdeeva. Множества
202711,Готовимся к региональному этапу 6
200533,Группа 2. Алгоритмы поиска. Часть 4. Метод двух указателей. Метод частичных сумм.
203046,Группа avdeeva. Битовые операции (база)
203125,9-профиль Основы ООП Python
004501,Параллель A. Потоки
202407,Группа 4. Динамика по подотрезкам
200406,Группа 1. Арифметические алгоритмы
202510,Группа 5. Задачечки 5
003200,Параллель B. Несколько прикольных задач
201911,Неделя 8. ACM. Шоколад
300502,Олимпиадная информатика-2. Занятие 3: Алгоритмы поиска. Часть 2. Тернарный поиск. Метод золотого сечения
000007,Template with codestyle
004204,Параллель B. Строки и хеш
300511,Олимпиадная информатика-2. Занятие 12: Динамическое программирование. Часть 1. Решение задач на последовательности
004001,Майская школа Летово. День 1. Группа 1. Поиски и сортировки
500014,FunContest ВКОШП junior 2023
200605,Группа 3. Остовные деревья
200610,Группа 3. ДО. Проверочная работа. Попытка 3
205500,Вступительный контест в 9 класс
203131,Группа ilyin. Кучи
200505,"Стеки, очереди, деки"
205204,Покемоны
203039,7 класс. Ввод-вывод
203303,Группа ilyin. Условия
000020,Вступительная в майскую школу
500027,Бонусный имба-контест
204301,Группа 4. Бор
004602,Параллель B. оооооочень много графов
500023,8prof-vv. Кодировки текста и системы счисления
200110,Параллель P. Тест
203121,Основы ООП Java
203032,8prof. Введение в криптографию
203033,8prof Системы счисления
200800,Группа 5. Мы любим матрицы
203101,Группа ilyin. Условия
004060,Вступительный контест
201700,Группа 4. Декартово дерево
209002,Электронные таблицы - 1
500011,Экзамен для поступающих в 10 класс. Вариант 2
004400,"Переменные, ввод-вывод"
200910,Неделя 8. ACM. Strings
203127,Самматив. Арифметические алгоритмы
202714,Готовимся к региональному этапу 7
300405,Олимпиадная информатика-1. Занятие 6. Динамическое программирование. Часть 2. Пять китов динамики.
003003,Параллель D. Python. Циклы
203041,7 класс. Условия
201706,Группа 4. Динамика по всяким бякам
203103,Группа ilyin. Сортировка кортежей
004700,Параллель C. Бинарный поиск
500005,Январская школа Летово. День 1. Группа 2. Простые структуры данных
000004,Template
203111,Группа ilyin. Поиск в ширину
000015,Весна 2018. 1 тур
000011,Демонстрационная версия офлайн-тура
003007,Параллель D. Функции
000021,Вступительная в майскую школу test
300513,Олимпиадная информатика-2. Занятие 14. Динамическое программирование. Часть 3. Черепашка: восстановление пути
500002,Январская школа Летово 2020 - Темплейт
202104,Группа 2. Алгоритмы на графах
200536,"Группа О-2, занятие 8: Графы. Часть 3. Покраска в два цвета. Поиск циклов. Обход дерева."
004024,Майская школа Летово. День 4. Группа 3. Сложнявая геомка
201806,Группа 5. Олимпиадный контест 28.11.19
204611,Готовимся к олимпиадам 3-5 10
201615,Группа 3. Контрольная работа по ДО
003100,Параллель C. Бинарный поиск
202508,Группа 5. Задачечки 4
203048,Группа avdeeva. Работа с файлами
000220,Test contest
200609,Группа 3. ДО. 2D задачи
300505,Олимпиадная информатика-2. Занятие 6: Графы. Часть 1. Матрица смежности. Список ребер. Список смежности. Преобразования из одного типа задания в другой.
203035,Группа avdeeva. Структуры данных
203045,Группа avdeeva. ML contest
203122,9-ОГЭ-Text
204308,Группа 4. Прощальный контест
201908,Неделя 6. ACM. DP
201814,"Тренировка к всеросу 7. Кто не решит геому, тот из Саратова"
003996,Поле чудес
200200,Параллель G. Параллель G. Геометрия
204410,Группа 5. Интересные задачи 6
201809,Тренировка к всеросу 2. Обмазываемся строками
200103,Группа P. Цикл while
004302,Параллель C. Арифметика
300800,"Олимпиадная информатика-5. Занятие 1. Динамическое программирование с матрицами, использование матриц при поиске путей фиксированной длины"
004408,Параллель D. STL
004004,Майская школа Летово. День 4. Группа 1. Динамика
201905,Неделя 4. ACM
202507,Группа 5. Специально для Саратова
203050,Мухослон
204406,Группа 5. Ахо-Корасик
300407,Олимпиадная информатика-1. Занятие 8. Арифметические алгоритмы. Часть 1. Проверка числа на простоту. Решето Эратосфена.
203011,Группа avdeeva. Деки
004012,Майская школа Летово. День 2. Группа 2. Обход в глубину
300508,Олимпиадная информатика-2. Занятие 9: Графы. Часть 4. Поиск кратчайших путей в невзвешенном графе.
300404,Олимпиадная информатика-1. Занятие 5. Динамическое программирование. Часть 1. Решение задач на последовательности.
202411,Группа 4. Контрольная по динамике
201622,Группа 3. Ахо-Корасик для Кирилла
004504,Параллель A. Динамика
205201,Самматив ООП на Python
200802,Группа 5. Лампочки на дереве
200613,3 минуты! Время пошло! ДО
004200,Развлекательный тур
203030,Группа avdeeva. Алгоритмы на графах
203055,Группа avdeeva. Множества и словари
004410,Параллель D. Финал
300403,Олимпиадная информатика-1. Занятие 4: Динамическое программирование. Часть 1. Решение задач на последовательности
202300,Группа 3. Комбинаторика
200114,Очереди
202700,Готовимся к муниципальному этапу 1
000001,Test contest
500022,9-профиль Вычислительная геометрия (НЕ ИСПОЛЬЗОВАТЬ)
203140,9-профиль Raycasting 2D
201617,Группа 3. Переписывание КР
200602,Группа 3. Проверочный контест по геометрии
004808,Параллель D. STL
004409,Параллель D. Сортировки
201607,Группа 3. Структуры данных
203102,Группа ilyin. Системы счисления
201704,Группа 4. Динамика по подотрезкам
202502,Группа 5. Еще поточки
202723,Готовимся к заключительному этапу 6
203007,Группа avdeeva. Списки и кортежи
200538,"Группа О-2, занятие 10: Графы. Часть 5. Поиск кратчайших путей во взвешенном графе. Алгоритм Дейкстры"
004201,Параллель B. Топологическая сортировка и конденсация
203005,7 класс. Цикл while
500021,9-профиль Основы ООП Python
500028,ИМБА CTF
000130,Вступительный контест в январскую школу
300501,Олимпиадная информатика-2. Занятие 2. Алгоритмы поиска. Часть 1. Решение задач на бинарный поиск по ответу. Тернарный поиск.
203062,7 класс. Самматив по основам Python
003006,Параллель D. Строки
203024,Группа avdeeva. Summative Criterion B
203110,Группа ilyin. Множества
203128,DrawZero
200402,Группа 1. Динамическое программирование с одним параметром
003301,Параллель A. Паросочетания
203104,Группа ilyin. Цикл for
004810,Параллель D. Финал
203047,Группа avdeeva. ML contest
201624,Группа 3. Венгерский алгоритм для Егора
300406,"Олимпиадная информатика-1. Занятие 7. Динамическое программирование. Часть 3. Динамика вперед, назад. Порядок обхода состояний. Восстановление ответа в динамике."
003101,Параллель C. Бинарный поиск по ответу
203133,Repare IT! while
203099,Группа avdeeva. Problems
003102,Параллель C. Динамическое программирование
203028,Группа avdeeva. Сортировки
201711,Группа 4. Игры-игрушки
200804,Группа 5. Декартово дерево
200106,Списки
204203,Группа 3. Дерево отрезков
205102,Группа ilyin. Условия
203016,7 класс. Списки
204204,Группа 3. Дерево отрезков 2
204407,Группа 5. Интересные задачи 4
300419,OИ1-4. Однопроходные алгоритмы
004203,Параллель B. Остовные деревья
003000,Параллель D. Задачи на ввод-вывод
003005,Параллель D. Матрицы
003205,Параллель B. Динамическое программирование 2
201812,Тренировка к всеросу 5. Сложнота какая-то
203010,8-prof. Очереди
004103,Параллель A. LCA
205300,Группа gurovic. Самматив 9 класс. Графы
203040,8prof. Символы и строки
202311,Группа 3. Кратчайшие пути
203013,Группа avdeeva. Кучи
200108,Сортировка I
200537,"Группа О-2, занятие 9: Графы. Часть 4. Поиск кратчайших путей в невзвешенном графе."
201618,Группа 3. Еще раз пишем КР
206002,Группа ilyin. Бинарный поиск
204300,Группа 4. Z и префикс функции
200503,Параллель D — Зачёт
500026,Вступительная ИМБА
201910,Неделя 8. ACM. Strings
205101,Группа ilyin. Строки
202724,Группа 7. ТЧ и комба для Кирилла
203002,7 класс. Строки
200542,"Группа О-2, занятие 14. Динамическое программирование. Часть 3. Черепашка: восстановление пути"
200407,Двумерная динамика
202403,Группа 4. Вспоминаем дерево отрезков
004102,Параллель A. Геометрия
203049,Decorator spells
201606,Группа 3. Мосты и точки сочленения
200543,"Группа О-2, занятие 15. Динамическое программирование. Часть 4. Наибольшая общая подпоследовательность"
205202,Самматив ООП на Python
000010,Демонстрационная версия онлайн-тура
202504,Группа 5. Min-cost-max-flow
202713,Готовимся к муниципальному этапу 7
300605,Олимпиадная информатика-3. Занятие 6. Строки. Хеши. Часть 2. Применение бинарного поиска
203164,8prof. Теория чисел handmade
201702,Группа 4. Сложное дерево отрезков
300417,ОИ1-8. Арифметика
003201,Параллель B. Структуры данных
202107,Группа 2. Алгоритмы на графах 4
203036,Группа avdeeva. Алгоритмы сжатия
201603,Группа 3. Строки
203038,Авдеева. Игры
203004,7 класс. Цикл for
202718,Готовимся к региональному этапу 9
203020,Группа avdeeva. Вычислительная геометрия 2
201804,Группа 5. Олимпиадный контест на осенние каникулы
203026,Группа avdeeva. Summative B
202722,Готовимся к заключительному этапу 5
000221,Template
200504,Параллель D — Строки
209001,Электронные таблицы I
204304,Группа 4. Алгоритм Мо
203113,Группа ilyin. Действительные числа
203114,9-профиль Основы ООП Python (копия 500021)
203058,8prof. itertools
202402,Группа 4. КР по ДД
205501,Вступительный контест в 8 класс
201800,Группа 5. Паросочетания
202401,Группа 4. Декартово дерево по неявному ключу
203044,Группа avdeeva. Простые числа (база)
203163,9prof. Основы работы с git
004600,Параллель B. Олимпиадный тур
204401,Группа 5. Потоки
203031,8prof. Lambda functions
202000,Группа 1. Квадратичные сортировки
500007,Template
004202,Параллель B. оооооочень много графов
300415,ОИ1-6. Динамика-3
200600,"Группа 3. Она вам не ""Комба"""
203100,7 класс. Линейный алгоритм
300607,Олимпиадная информатика-3. Занятие 8. Графы. Топологическая сортировка
202704,Готовимся к муниципальному этапу 3
300516,Олимпиадная информатика-2. Занятие 17. Динамическое программирование. Часть 6. Задача о рюкзаке
203136,"8prof. ASCII, Unicode"
200545,Динамическое программирование. Задача о рюкзаке100
004807,Параллель D. Функции и рекурсия
200531,Группа 2. Бинарный поиск
000105,Template with codestyle
203138,8prof. Lambda functions
203042,Мини-код
300512,Олимпиадная информатика-2. Занятие 13. Динамическое программирование. Часть 2. Черепашка на количество путей. Черепашка на минимальный путь. Черепашка с ограничениями
004013,Майская школа Летово. День 3. Группа 2
201614,Группа 3. ДО за 5 минут 4
202301,Группа 3. Контрольная по комбинаторике
203302,Списки просто
004805,Параллель D. Двумерные массивы
203132,Bug Fix. Бинарный поиск
203008,Группа avdeeva. Словари
003300,Параллель А. Парочка интересных задач для начала
004205,Параллель B. Структуры данных
202719,Готовимся к заключительному этапу 1
203019,Группа avdeeva. Готовимся к школьному этапу 2
204305,Группа 4. LCA
200608,Группа 3. Проверочная работа по дереву отрезков
004500,Параллель A. Паросочетания
200601,Группа 3. Геометрия. Общий контест
203029,Группа avdeeva. Быки и коровы
202702,Готовимся к муниципальному этапу 2
300503,Олимпиадная информатика-2. Занятие 4: Алгоритмы поиска. Часть 3. Сканирующая прямая. Скобочные последовательности.
500019,ВКОШП.Junior 2024. Безусловный контест
204612,Готовимся к олимпиадам 3-5 11
200501,Параллель D — Списки
002295,Новогодний контест 2025
200530,Группа 2. Сортировка слиянием
004802,Параллель D. Циклы
203200,Группа gurovic. 7 класс. Проверь себя
200604,Группа 3. Топологическая сортировка и конденсация
203009,Группа avdeeva. Стек
000017,Летний Контест ФМШ 2007 #1
203139,8prof. Рекурсия
000100,База юзеров школы летово (с почтой в @student.letovo.ru)
004401,Параллель D. Условия
300514,Олимпиадная информатика-2. Занятие 15. Динамическое программирование. Часть 4. Наибольшая общая подпоследовательность
500016,Экзамен для поступающих в 10 класс. Вариант 3
000131,Пробный тур
202312,Группа 3. КР по графам
203051,Группа avdeeva. Словари - 2
200535,Обход графа. Подсчет количества компонент связности
500012,SQL - Запросы к одной таблице
209011,SQL - запросы
204306,Группа 4. ДО + Сканлайн
204402,Группа 5. Интересный контест 1
201709,Группа 4. Еще паросочетания
203012,Группа avdeeva. Тренировка
200111,Параллель P. Функции
